Month,Peak Players,#Gain In Players,% Gain in Players,Average # of Players,Avg % Gain of Players,Twitch Peak Viewers,YearMonth,date,price,volume,elasticity,percent_change_7_days,percent_change_1_day,US_Holiday,item_name
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-01,37.118,71.0,0.9581269002082528,5.637931525172899,0.2430593064707881,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-02,38.91,52.0,6.277681149423561,10.19229135396901,4.827846327927136,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-03,38.627,47.0,6.922711500131588,12.914730041801862,-0.727319455152902,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-04,38.388,45.0,6.922985797205059,8.812608067122069,-0.6187381883138849,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-05,39.15,47.0,9.870885627745182,12.017167381974236,1.9849953110346996,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-06,39.301,65.0,4.153642026300817,10.91950778956875,0.38569604086846326,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-07,37.282,97.0,-3.7158931468286998,0.6859673760397478,-5.137273860716026,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,38.521,6.0,23.807880514902582,3.7798372757152823,3.323319564401064,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,37.646,3.0,15.902120151722864,1.4224904359071036,0.9763424708974957,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,36.131,2.0,9.909426890742584,-2.6590872353036312,-3.0872807252829686,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,39.72,5.0,112.35791867164326,7.0100759739209995,6.539348747384804,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,37.39,5.0,13.911927219256137,0.7327981033460813,0.289684029826737,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,35.5,2.0,8.534952382813108,-4.359071070639587,-4.779786492140971,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,37.03,3.0,12.65771895881766,-0.23708173931785378,-0.675929402929015,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,37.537,43.0,5.487822517177667,1.1288323724338512,0.6839761815353322,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-08,38.979,7.0,33.425366438777125,5.013739964437731,4.5517944316292125,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.288,4.0,15.508188945006527,-4.168594191724492,-3.2008514836063555,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,39.031,3.0,61.09000957438231,0.31097404266256035,1.323953168401646,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.05,1.0,14.994447963710684,-4.780262143407863,-3.818696295527124,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.246,4.0,15.236260020891146,-4.27653559496272,-3.3098829210041236,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.085,2.0,14.89204770849674,-4.690310974042652,-3.727836764362295,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,38.33,1.0,29.631291233888597,-1.4906193780519104,-0.4958334414994483,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,38.882,7.0,44.95787994531465,-0.07196093549215805,0.9371511642999847,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.06,7.0,13.224209808525382,-4.754561809303507,-3.7927364294800197,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,47.566,2.0,-4.803715522360617,22.246209200719626,23.48069883959399,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.03,5.0,13.674722315417409,-4.83166281161654,-3.8706160276212964,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.657,2.0,19.184931026490993,-3.2202518632742234,-2.2429324264686903,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,39.589,3.0,713.2125813440218,1.7450526856849193,2.7725136938293344,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,39.726,3.0,-440.0184917090539,2.0971472629144245,3.1281638586744847,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.775,2.0,20.397948731804732,-2.916987920842966,-1.936606007113009,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,36.995,4.0,13.791094817081973,-4.921613980981751,-3.9614755587861255,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,41.022,2.0,-27.57107515902163,5.427910562837322,6.492562498377502,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,38.514,2.0,33.77012012219521,-1.0177332305319808,-0.018171906232958376,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.0,4.0,13.817201728864855,-4.908763813929573,-3.9484956257625727,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,37.0,5.0,13.519402622291233,-4.908763813929573,-3.9484956257625727,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,40.654,1.0,-38.36640437680511,4.4821382677975,5.537239427844559,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-09,38.471,3.0,31.85716105591768,-1.1282446671806736,-0.12979933023546705,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,39.315,4.0,-162.77606094045018,1.7811375462759085,5.4360652220553565,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.21,3.0,19.14843108894342,-3.6684184637688704,-0.20918257884573016,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.06,3.0,17.739635789693125,-4.056747870660419,-0.6114567689336903,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.23,3.0,19.35335765080667,-3.616641209516674,-0.15554602016734562,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.453,3.0,21.97565374819068,-3.0393248246045497,0.44250160909677716,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.21,5.0,18.113889134236263,-3.6684184637688704,-0.20918257884573016,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,33.0,1.0,6.2506929464712595,-14.567530483858446,-11.499678180647923,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.3,2.0,20.649638157631834,-3.4354208196339484,0.03218193520703834,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,38.566,2.0,69.71494570138557,-0.1579206254692312,3.427376099549469,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.451,5.0,20.763132487386194,-3.044502550029777,0.43713795322893106,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,39.187,4.0,-399.02870891916035,1.4497631190617837,5.0927912465136265,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,33.3,1.0,6.5740710495512795,-13.790871670075349,-10.695129800472001,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.621,1.0,25.796148637148633,-2.6043958888860126,0.8930487019952948,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.053,4.0,17.201362898097226,-4.074869909648704,-0.6302295644711421,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,38.921,2.0,208.90246191587266,0.7611256375074349,4.379425016090975,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,38.4,2.0,53.15436980593569,-0.5876718357625594,2.982192662518778,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,38.471,1.0,60.72193524821146,-0.40386258316722995,3.172602445827075,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,36.385,4.0,12.967273457384291,-5.804230201672417,-2.42169062432954,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.504,2.0,23.29103655959081,-2.9072928262614353,0.5792748337266711,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,35.245,2.0,9.638452753031714,-8.755533694048218,-5.478974468998068,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.12,5.0,17.290035014315894,-3.901416107903811,-0.4505470928985177,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,39.02,1.0,483.72316602914583,1.0174230460558693,4.644925981549042,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-10,37.19,1.0,19.971501156390847,-3.7201957180210856,-0.2628191375241337,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,35.9,3.0,12.046916489821616,-6.48119203917891,-8.686252066641229,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.34,1.0,25.28603387368365,-2.730019797853482,-5.023527915553846,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,39.086,3.0,-137.21001458132093,1.81827654475357,-0.5824748823604202,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.667,3.0,218.00240215068177,0.7267896217568081,-1.6482258679893071,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.159,2.0,54.438120317997495,-0.5965405855996645,-2.9403535546229147,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.075,4.0,45.23695196845129,-0.8153589663436368,-3.154012463436335,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.634,3.0,29.52974677466342,-1.9641554652495514,-4.275721734706848,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.66,8.0,25.131435422796745,-1.8964259664478524,-4.209589215312224,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.666,2.0,31.35861565851586,-1.8807960821089957,-4.194327864682694,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.248,3.0,60.74482167288776,-0.3646973012399723,-2.7139768536182123,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,36.8,1.0,18.555885847994162,-4.136709388350529,-6.397049472211626,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.817,3.0,2977.6140283591644,1.1175367302282018,-1.2666921022510431,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.35,5.0,22.260621433170872,-2.703969990622061,-4.998092331171299,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,41.889,1.0,-12.302369949791697,9.120037511722426,6.5471194200686895,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.21,1.0,23.25546577475515,-3.0686672918620332,-5.354190512527017,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.095,4.0,46.46981904326589,-0.7632593518807942,-3.1031412946712424,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.67,3.0,30.447096931073997,-1.8703761592164125,-4.184153630929661,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.21,1.0,23.25546577475515,-3.0686672918620332,-5.354190512527017,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.64,2.0,30.6728064605983,-1.9485255809106952,-4.260460384077317,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,40.008,1.0,-31.927312067215624,4.2200687714911025,1.76268599771081,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,35.435,4.0,10.048135012607654,-7.692508075440231,-9.86900674042985,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,37.695,2.0,32.160661921794265,-1.80525164113785,-4.120564669973286,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,35.65,1.0,11.842995573575367,-7.132437219964571,-9.322141676205009,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-11,38.376,2.0,80.524201616005,-0.03125976867771297,-2.388401373521557,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.0,1.0,22.88452493517472,-5.491698595146867,3.064066852367692,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.39,1.0,30.091574087451516,-4.495530012771387,4.150417827298056,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,39.168,2.0,-66.52731317158536,0.045977011494254615,9.10306406685237,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.25,4.0,24.06649044239966,-4.8531289910600215,3.760445682451258,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.54,3.0,31.73235423401547,-4.112388250319284,4.5682451253481915,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.09,3.0,22.450064269228296,-5.261813537675594,3.314763231197785,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.0,5.0,19.533967695862057,-5.491698595146867,3.064066852367692,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.06,1.0,23.760003927110514,-5.338441890166019,3.2311977715877545,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.63,5.0,31.86050875120848,-3.8825031928480103,4.818941504178284,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,37.61,1.0,36.59232746517835,-3.9335887611749656,4.76323119777159,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,38.117,2.0,70.20489889567672,-2.6385696040868485,6.175487465181055,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-12,38.308,3.0,107.80299549225397,-2.1507024265644925,6.707520891364906,False,AWP | Neo-Noir (Factory New)
